,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,inline_composer_display_condition,private_reply_status,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments
10,17936269552307110,3945499682,Where tf is Captain Planet when we need him.,0,1567397697,1567397697,comment,Active,0,False,False,"{'pk': 3945499682, 'username': 'makeshift16', 'full_name': 'Amanda Nichols', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/23279300_1476700555780506_6674721345143570432_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=YHHflOvDCoMAX-FfQpL&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_hH9KtqOlAWupyMhA0lHwRBliU6QWZUvtWDf3HIFQlNw&oe=62BB7EFC&_nc_sid=705020', 'profile_pic_id': '1639543422838480248_3945499682', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,
11,17853191524536750,53779808,I look forward to the day electric vehicles shift towards being the majority and big oil is put to rest.,0,1567293842,1567293842,comment,Active,0,False,False,"{'pk': 53779808, 'username': 'jpow258', 'full_name': 'Josh Powers', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/184185180_1372206369818212_7968736908362882523_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=eQ9sbrUA2F0AX8DilN5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_Wqa5Y6ZX3DHWnGaT7wnuMKjZjbxRkxrkH2CuZF7_SBQ&oe=62BB7998&_nc_sid=705020', 'profile_pic_id': '2571938063583584505_53779808', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,3,0,[],[],never,0,,,
12,18075335701115726,276320784,😂,0,1567120636,1567120636,comment,Active,0,False,False,"{'pk': 276320784, 'username': 'katiemae_fit', 'full_name': 'Kate Mae', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/287453311_1012311119650457_1926196669956187508_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=8vb7ITOsQN0AX8Z1wc4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_j-UE7dvCOeGOSzDzhvj7nzNkq_qyTFZ22qnAqQXMI5A&oe=62BAF4B5&_nc_sid=705020', 'profile_pic_id': '2859452319571633479_276320784', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655938221, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,
13,17864731099475583,4493890558,what kind of sick joke is this,0,1567063541,1567063541,comment,Active,0,False,False,"{'pk': 4493890558, 'username': 'lj_the_dj', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/117294083_2487938954839743_8869453440514381458_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=OkajnN-biYoAX8acr5M&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9mT5RN4pAXJhd26RZ1bNFD3VToocGjMTJB8sGZemqUfw&oe=62BC3142&_nc_sid=705020', 'profile_pic_id': '2372323692347948958_4493890558', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,4,0,[],[],never,0,,,
14,18014857423239729,47784114,@exxonmobil you're not fooling anyone 😂,0,1566955319,1566955319,comment,Active,0,False,False,"{'pk': 47784114, 'username': 'bucknastymusic', 'full_name': 'Nate Sweet', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/221515902_839330810104994_2827473012652300435_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=vd_e-JjmPp8AX_kVbEx&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8K2FOyh1SXtFc8HXBUZegsCs2qNDq83vnT3CFO20MSpg&oe=62BA7E93&_nc_sid=705020', 'profile_pic_id': '2638140359851855289_47784114', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,7,0,[],[],never,0,,,
15,18076396621098478,49344802,Is it a banyan tree?,0,1566929225,1566929225,comment,Active,0,False,False,"{'pk': 49344802, 'username': 'lyszsimmons', 'full_name': 'Lysz Simmons', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/70693922_2279433812183091_1127479411130499072_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=RwYozmd25HgAX9LDXWy&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8ztYzNLg-LImhJflDqzgzM8mV313ciX24yV0mJeioCaA&oe=62BA4114&_nc_sid=705020', 'profile_pic_id': '2141253251270426989_49344802', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,
16,17851369642541801,5540529971,helping the ecosystem by destroying our planet?,0,1566907138,1566907138,comment,Active,0,False,False,"{'pk': 5540529971, 'username': 'daniellaespeckerman', 'full_name': 'daniella🧞\u200d♀️', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/280658600_724423405428389_6781503681233585026_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=9b-HZBUESJ8AX80lgrv&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9hvoq6CFuyGcHNTtxwYFGbFooWVesH5R3tjvqpEPXN-Q&oe=62BAB3FC&_nc_sid=705020', 'profile_pic_id': '2838619411150358258_5540529971', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,5,0,[],[],never,0,,,
17,18094668832000553,5540529971,criminals criminals,0,1566907125,1566907125,comment,Active,0,False,False,"{'pk': 5540529971, 'username': 'daniellaespeckerman', 'full_name': 'daniella🧞\u200d♀️', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/280658600_724423405428389_6781503681233585026_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=9b-HZBUESJ8AX80lgrv&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9hvoq6CFuyGcHNTtxwYFGbFooWVesH5R3tjvqpEPXN-Q&oe=62BAB3FC&_nc_sid=705020', 'profile_pic_id': '2838619411150358258_5540529971', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,
18,18029251039204618,3528317527,Guyana?? That’s where Team Rocket scientists found Mew!,0,1566860332,1566860332,comment,Active,0,False,False,"{'pk': 3528317527, 'username': 'bridgetlovejoyart', 'full_name': 'Bridget Lovejoy', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/66172891_1259113750935046_233137632350044160_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=xjI_bwICticAX8N0Yk7&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-5bdf3Rr0bgnxi84WLNfmw9B_qO0v4ctNsB2KwSRxr8w&oe=62BA64F3&_nc_sid=705020', 'profile_pic_id': '2099165233775299641_3528317527', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,
19,18023652745219394,359363441,How?,0,1566799626,1566799626,comment,Active,0,False,False,"{'pk': 359363441, 'username': 'artgirl4ever', 'full_name': '🎨🏳️\u200d🌈Grace!🌈⛵ 💙💛', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/98397117_654076372115339_4695456031231180800_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=DT_0etaCF74AX81ocos&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT83LnApm4ykWBrN9gp9NePt7yZg37nCvJYGdwYv3R-iiw&oe=62BAC3F4&_nc_sid=705020', 'profile_pic_id': '2314257556451589908_359363441', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655941662, 'latest_besties_reel_media': 0}",False,False,2,0,[],[],never,0,,,
